,Price,Location
0,"29,8 tỷ","Gia Lâm, Hà Nội"
1,"2,2 tỷ","Gia Lâm, Hà Nội"
2,15 tỷ,"Quận 9, Hồ Chí Minh"
3,"6,15 tỷ","Quận 2, Hồ Chí Minh"
4,"12,78 tỷ","Tây Hồ, Hà Nội"
5,"7,08 tỷ","Hoài Đức, Hà Nội"
6,Giá thỏa thuận,"Văn Giang, Hưng Yên"
7,6 tỷ,"Bắc Từ Liêm, Hà Nội"
8,"3,33 tỷ","Nam Từ Liêm, Hà Nội"
9,"7,3 tỷ","Quận 2, Hồ Chí Minh"
10,"2,6 tỷ","Dĩ An, Bình Dương"
11,"14,1 tỷ","Quận 2, Hồ Chí Minh"
12,Giá thỏa thuận,"Hà Đông, Hà Nội"
13,Giá thỏa thuận,"Quận 9, Hồ Chí Minh"
14,Giá thỏa thuận,"Thanh Xuân, Hà Nội"
15,7 tỷ,"Văn Giang, Hưng Yên"
16,"4,9 tỷ","Quận 2, Hồ Chí Minh"
17,"5,8 tỷ","Bắc Từ Liêm, Hà Nội"
18,"2,15 tỷ","Quận 7, Hồ Chí Minh"
19,"2,7 tỷ","Quận 7, Hồ Chí Minh"
,Price,Location
0,"2,15 tỷ","Gia Lâm, Hà Nội"
1,7 tỷ,"Quận 2, Hồ Chí Minh"
2,"18,5 triệu","Đông Anh, Hà Nội"
3,"7,3 tỷ","Quận 2, Hồ Chí Minh"
4,"2,85 tỷ","Quận 9, Hồ Chí Minh"
5,"5,6 tỷ","Bắc Từ Liêm, Hà Nội"
6,"3,8 tỷ","Quận 7, Hồ Chí Minh"
7,"6,23 tỷ","Tân Phú, Hồ Chí Minh"
8,"3,4 tỷ","Hà Đông, Hà Nội"
9,"17,8 tỷ","Đông Anh, Hà Nội"
10,10 tỷ,"Thường Tín, Hà Nội"
11,"1,85 tỷ","Quận 9, Hồ Chí Minh"
12,"2,55 tỷ","Quận 9, Hồ Chí Minh"
13,17 tỷ,"Văn Giang, Hưng Yên"
14,"9,9 tỷ","Văn Giang, Hưng Yên"
15,"3,33 tỷ","Quận 9, Hồ Chí Minh"
16,"6,5 tỷ","Tân Phú, Hồ Chí Minh"
17,"5,7 tỷ","Quận 2, Hồ Chí Minh"
18,"5,56 tỷ","Tân Phú, Hồ Chí Minh"
19,"5,4 tỷ","Tân Phú, Hồ Chí Minh"
,Price,Location
0,"4,35 tỷ","Tân Phú, Hồ Chí Minh"
1,"5,21 tỷ","Gia Lâm, Hà Nội"
2,"1,52 tỷ","Dĩ An, Bình Dương"
3,"10,7 tỷ","Văn Giang, Hưng Yên"
4,"10,1 tỷ","Văn Giang, Hưng Yên"
5,"2,4 tỷ","Gia Lâm, Hà Nội"
6,"2,9 tỷ","Sơn Trà, Đà Nẵng"
7,8 tỷ,"Văn Giang, Hưng Yên"
8,40 tỷ,"Đông Anh, Hà Nội"
9,36 tỷ,"Hà Đông, Hà Nội"
10,"2,2 tỷ","Quận 9, Hồ Chí Minh"
11,"3,55 tỷ","Tân Phú, Hồ Chí Minh"
12,"6,2 tỷ","Long Biên, Hà Nội"
13,"16,5 tỷ","Hà Đông, Hà Nội"
14,"9,7 tỷ","Thường Tín, Hà Nội"
15,"7,4 tỷ","Văn Giang, Hưng Yên"
16,15 tỷ,"Văn Giang, Hưng Yên"
17,Giá thỏa thuận,"Sơn Trà, Đà Nẵng"
18,Giá thỏa thuận,"Gia Lâm, Hà Nội"
19,"2,55 tỷ","Gia Lâm, Hà Nội"
,Price,Location
0,"6,2 tỷ","Long Biên, Hà Nội"
1,"45,48 tỷ","Tây Hồ, Hà Nội"
2,Giá thỏa thuận,"Cầu Giấy, Hà Nội"
3,"8,1 tỷ","Thanh Thủy, Phú Thọ"
4,"2,79 tỷ","Bình Tân, Hồ Chí Minh"
5,"2,5 tỷ","Quận 9, Hồ Chí Minh"
6,"2,5 tỷ","Gia Lâm, Hà Nội"
7,"41,5 tỷ","Đông Anh, Hà Nội"
8,"9,1 tỷ","Văn Giang, Hưng Yên"
9,20 tỷ,"Văn Giang, Hưng Yên"
10,"8,9 tỷ","Văn Giang, Hưng Yên"
11,"2,67 tỷ","Sơn Trà, Đà Nẵng"
12,"45,48 tỷ","Tây Hồ, Hà Nội"
13,"2,12 tỷ","Thuận An, Bình Dương"
14,5 tỷ,"Quận 2, Hồ Chí Minh"
15,"104,2 tỷ","Tây Hồ, Hà Nội"
16,10 tỷ,"Thường Tín, Hà Nội"
17,"3,35 tỷ","Hạ Long, Quảng Ninh"
18,30 tỷ,"Văn Giang, Hưng Yên"
19,"2,85 tỷ","Quận 9, Hồ Chí Minh"
,Price,Location
0,16 tỷ,"Quận 2, Hồ Chí Minh"
1,14 tỷ,"Văn Giang, Hưng Yên"
2,"2,55 tỷ","Gia Lâm, Hà Nội"
3,Giá thỏa thuận,"Gia Lâm, Hà Nội"
4,"19,05 tỷ","Quận 9, Hồ Chí Minh"
5,"2,4 tỷ","Sơn Trà, Đà Nẵng"
6,"12,3 tỷ","Hà Đông, Hà Nội"
7,"4,5 tỷ","Sơn Trà, Đà Nẵng"
8,Giá thỏa thuận,"Cầu Giấy, Hà Nội"
9,Giá thỏa thuận,"Đông Anh, Hà Nội"
10,Giá thỏa thuận,"Tây Hồ, Hà Nội"
11,"5,42 tỷ","Thanh Xuân, Hà Nội"
12,"16,2 tỷ","Sơn Trà, Đà Nẵng"
13,"25,2 tỷ","Long Biên, Hà Nội"
14,"4,8 tỷ","Bắc Từ Liêm, Hà Nội"
15,"1,56 tỷ","Nhơn Trạch, Đồng Nai"
16,"8,6 tỷ","Văn Giang, Hưng Yên"
17,44 tỷ,"Chương Mỹ, Hà Nội"
18,"5,4 tỷ","Long Biên, Hà Nội"
19,"7,4 tỷ","Văn Giang, Hưng Yên"
,Price,Location
0,"20,2 tỷ","Quận 9, Hồ Chí Minh"
1,"16,2 tỷ","Văn Giang, Hưng Yên"
2,"2,95 tỷ","Quận 9, Hồ Chí Minh"
3,"34,2 tỷ","Hà Đông, Hà Nội"
4,Giá thỏa thuận,"Đông Anh, Hà Nội"
5,"3,2 tỷ","Gò Vấp, Hồ Chí Minh"
6,"2,5 tỷ","Gia Lâm, Hà Nội"
7,Giá thỏa thuận,"Đông Anh, Hà Nội"
