State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,MarketEstimate,RentEstimate,Latitude,Longitude,ListedPrice
AL,Saraland,Scott Dr,36571,4,2,1614,148.6369269,0.3805,240600,1599,30.819534,-88.09596,239900
AL,Robertsdale,Cowpen Creek Rd,36567,3,2,1800,144.3888889,3.2,,,30.590004,-87.580376,259900
AL,Gulf Shores,Spinnaker Dr #201,36542,2,2,1250,274,,,,30.284956,-87.74792,342500
AL,Chelsea,Mallet Way,35043,3,3,2224,150.6294964,0.26,336200,1932,33.357986,-86.6087,335000
AL,Huntsville,Turtlebrook Ct,35811,3,2,1225,204.0816327,,222700,1679,34.775517,-86.4407,250000
AL,Montgomery,Brampton Ln,36117,3,2,1564,96.54731458,0.2,150500,1385,32.372746,-86.165115,151000
AL,Boaz,Greenwood Ave,35957,3,2,1717,139.1962726,0.38,238400,2125,34.210014,-86.13669,239000
AL,Albertville,Lexington Ave,35950,3,2,1674,149.2831541,0.344352617,248000,1597,34.2754,-86.21792,249900
AL,Mobile,Emerald Dr W,36619,3,3,2190,134.7031963,0.3443,294000,1900,30.595074,-88.20307,295000
AL,Madison,Highpointb Plan Grayson Lndg,35756,4,3,3030,173.2343234,0.34,,,34.755985,-86.86592,524900
AL,Huntsville,Chancel Dr SE #5046,35802,2,3,2099,94.80705098,,,,34.691204,-86.565834,199000
AL,Mobile,Stanton Rd,36607,3,2,1194,125.6281407,0.1971,148300,1200,30.693125,-88.087814,150000
AL,Fort Mitchell,Old Glory Way,36856,4,2,2094,136.1031519,0.34,,,32.27287,-84.980064,285000
AL,Myrtlewood,Cedar Ave,36763,3,1,800,181.25,0.53,,,32.513927,-87.83505,145000
AL,Brewton,Kerlin Ave,36426,3,3,2451,20.57894737,0.2583,,,31.12658,-87.05359,50439
AL,Montgomery,Crestview Ave,36109,3,2,2196,76.95810565,0.61,124700,1250,32.39595,-86.269714,169000
AL,Semmes,Park Ave,36575,3,1,1100,145.4545455,1,158200,1099,30.774414,-88.257675,160000
AL,Irvington,Moores Ln,36544,5,3,2285,61.22538293,1.1772,,2100,30.455751,-88.242485,139900
AL,Mulga,Morningside Dr,35118,3,2,1410,56.66666667,0.34,78300,1369,33.524075,-87.00953,79900
AL,Red Level,County Road 21 N,36474,3,2,1783,98.14918676,1,,,31.39427,-86.60098,175000
AL,Grand Bay,Border Dr E,36541,3,2,2252,65.71936057,0.4501,,1640,30.481138,-88.352,148000
AL,Mobile,Driver St,36617,6,4,3036,54.01844532,0.141,154100,2500,30.702614,-88.08904,164000
AL,Birmingham,Wenonah Rd SW,35211,3,3,2760,72.10144928,0.35,,,33.448425,-86.87966,199000
AL,Henagar,State Highway 75,35978,4,2,1420,136.971831,0.8,,917,34.649124,-85.71751,194500
AL,Birmingham,Avenue I,35218,3,2,1044,66.09195402,0.18,,986,33.506554,-86.89646,69000
AL,Mobile,Spring Grv S,36695,3,2,1823,131.6511245,0.2,,,30.6471,-88.2378,240000
AL,Montgomery,Narrow Lane Rd,36116,3,3,3693,54.15651232,6.9,188300,1201,32.273514,-86.25934,200000
AL,Russellville,Gaines Ave N,35654,6,4,4690,45.84221748,1,,,34.50726,-87.7332,215000
AL,Scottsboro,Cecil St,35768,4,2,1558,96.21309371,0.49,,,34.65146,-86.03795,149900
AL,Huntsville,Club View Dr NW,35810,3,2,1532,142.9503916,0.264187328,218300,1535,34.750492,-86.62149,219000
AL,Fairhope,Fairfax Dr,36532,4,3,2410,170.0414938,0.27,407800,2550,30.504227,-87.874535,409800
AL,Phenix City,13th St,36867,3,2,1188,126.2626263,0.17,148400,1200,32.472347,-85.009224,150000
AL,Meridianville,Kingsford St,35759,3,2,1679,169.7438952,0.15,284000,1749,34.87313,-86.58187,285000
AL,Decatur,Rosemont St SE,35601,3,1,1308,164.2966361,0.27,,,34.57727,-86.95213,214900
AL,Remlap,Cedar Ln,35133,2,2,1600,112.5,4.87,178600,1495,33.78361,-86.630005,180000
AL,Mobile,Green Forest Ct,36618,3,2,1296,135.0308642,0.1016,170100,1566,30.717815,-88.147285,175000
AL,Fort Mitchell,Ottawa Trl,36856,5,4,3051,102.2615536,0.35,307100,2100,32.27377,-84.99826,312000
AL,Mobile,Montfort Rd S,36608,4,5,1598,93.86733417,0.426,143300,1500,30.70528,-88.17934,150000
AL,Huntsville,Villaret Dr SW,35803,3,2,1471,186.9476547,0.28,,,34.621323,-86.57433,275000
AL,Birmingham,42nd St S,35222,3,2,1175,285.106383,0.25,,,33.51739,-86.76976,335000
AL,Haleyville,25th St,35565,3,2,1450,124.0689655,0.385674931,173600,1050,34.23136,-87.618965,179900
AL,Opelika,Riverstone Dr,36804,4,3,1825,156.109589,0.25,,,32.603745,-85.333275,284900
AL,Dothan,Woodland Dr,36301,3,1,1458,98.07956104,0.353764922,141000,1385,31.201424,-85.413605,143000
AL,Tuscaloosa,22nd Ave E,35405,3,2,1444,110.734072,,192300,1500,33.15471,-87.50979,159900
AL,Dothan,Frankfort Dr,36305,3,2,1375,145.3818182,0.25,205400,1529,31.2081,-85.44741,199900
AL,Jasper,Smith Lake Dam Rd,35504,3,2,2666,37.39684921,4.8,,1800,33.981796,-87.188896,99700
AL,Montgomery,Meriwether Rd,36117,3,4,2361,63.53240152,0.68,,,32.35633,-86.179306,150000
AL,Opelika,Cutler Ridge Ct,36801,4,3,2307,198.0013004,1.86,,,32.657303,-85.42706,456789
AL,Birmingham,Deer Park Dr,35210,3,2,1227,240.4237979,0.002,,,33.527466,-86.71101,295000
AL,Huntsville,W Tuliptree Dr SE,35803,4,2,1999,152.5762881,0.29,304800,1800,34.63312,-86.536224,305000
AL,Foley,E Myrtle Ave,36535,3,2,1752,165.4680365,26,285800,1994,30.404478,-87.67821,289900
AL,Alabaster,Blue Spring Pl,35007,3,3,1880,148.8829787,0.27,283600,1681,33.22804,-86.83084,279900
AL,Grand Bay,Wheatcroft Road Ext #S,36541,3,2,1900,189.4210526,20,,,30.499058,-88.33377,359900
AL,Chelsea,Highway 440,35043,3,2,1425,195.7894737,1.82,280200,1425,33.354427,-86.59509,279000
AL,Madison,Tynedale Dr,35756,4,3,2354,155.0552251,0.21,364700,2037,34.69121,-86.78906,365000
AL,Mobile,Muscadine Ave,36618,4,2,2077,64.99759268,0.0477,,,30.721144,-88.2097,135000
AL,Mobile,Laurel St,36604,3,1,1490,157.7181208,0.1576,235000,1400,30.681978,-88.07807,235000
AL,Selma,Furniss Ave,36701,3,1,2263,24.25983208,0.154,,,32.40969,-87.03237,54900
AL,Fultondale,Sayers Rd,35068,3,3,2535,84.81262327,0.37,,,33.622974,-86.81058,215000
AL,Odenville,Brookhaven Dr,35120,3,2,1273,174.3126473,0.2,,,33.642292,-86.48792,221900
AL,Mobile,Clarke St,36606,3,1,1000,79,0.0767,,995,30.66862,-88.09325,79000
AL,Huntsville,Hickory Hill Ln SE,35802,4,3,2875,139.0956522,0.46,382400,2262,34.660194,-86.5568,399900
AL,Alabaster,Hickory Hills Dr,35007,3,2,1808,132.7433628,0.47,239400,1657,33.257935,-86.80834,240000
AL,Gordo,11th St SE,35466,3,2,1592,141.3316583,0.18,,,33.317497,-87.891014,225000
AL,Haleyville,32nd St,35565,3,2,1688,88.80331754,0.42,,,34.243496,-87.60556,149900
AL,Hazel Green,Will Holt Rd,35750,3,2,1976,68.31983806,0.56,125400,847,34.97667,-86.65006,135000
AL,Madison,Preston Wood Dr,35756,4,4,3263,176.2182041,0.33,,,34.700115,-86.793274,575000
AL,Huntsville,Adonna Dr NW,35810,3,2,1798,125.1390434,0.191230487,,,34.76469,-86.64163,225000
AL,Mobile,Macy Pl,36604,3,2,2455,199.185336,0.1739,488700,2578,30.685225,-88.0755,489000
AL,Bay Minette,Tanner Ln,36507,3,2,1859,112.9101668,3,194500,1875,30.810877,-87.80625,209900
AL,Gadsden,Edison Ave,35904,3,3,2542,137.6475216,1.43,347100,1800,34.057,-86.01735,349900
AL,Duncanville,Colonial Dr,35456,4,3,3556,50.59055118,2,182000,1814,33.118427,-87.47632,179900
AL,Opelika,Flintwood Ln,36804,4,3,2499,149.2597039,0.42,,,32.601738,-85.4107,373000
AL,New Brockton,Highway 51,36351,2,1,1851,32.41491086,5.72,,1800,31.474384,-85.850395,60000
AL,Birmingham,3rd St S,35205,2,2,778,170.9511568,0,,,33.498814,-86.82817,133000
AL,Huntsville,Craft Ave NW,35816,3,2,1320,135.6060606,1,166800,1594,34.7451,-86.612724,179000
AL,Cherokee,Barton Rd,35616,5,1,3459,25.99017057,3.7,,,34.736748,-87.89004,89900
AL,Birmingham,43rd St,35208,3,2,1444,123.2686981,0.16,,,33.490116,-86.890594,178000
AL,Mobile,Creekwood Place Dr,36695,4,3,2954,84.5971564,0.4635,,,30.64961,-88.21921,249900
AL,Mobile,N Gulf Field Dr,36605,5,4,1505,86.31229236,0.1836,127600,1099,30.6478,-88.08221,129900
AL,Foley,Simmons Dr,36535,4,2,2494,92.18123496,0.92,,,30.336601,-87.695,229900
AL,Mobile,Middle Ring Rd,36608,4,2,1034,117.9883946,0.1825,120700,1300,30.71276,-88.191345,122000
AL,Dothan,Meadowbrook Dr,36303,3,2,1664,105.1682692,0,165000,1435,31.240427,-85.43404,175000
AL,Northport,Dunston Cir,35475,4,2,2349,140.4427416,,328500,1999,33.303703,-87.594124,329900
AL,York,Lincoln St,36925,4,2,2295,60.95860566,0.86,,,32.484257,-88.31267,139900
AL,Grand Bay,Wheatcroft Rd S,36541,3,2,1874,192.0490928,20,,,30.441343,-88.31281,359900
AL,Dothan,Foxrun Trl,36303,5,3,2472,108.8187702,0.457988981,263800,1999,31.257858,-85.4552,269000
AL,Perdido Beach,Cypress St,36530,3,2,1860,101.6129032,0.455,,,30.347391,-87.501076,189000
AL,Helena,Southwind Dr,35080,3,2,2190,125.4794521,0.4,279600,1648,33.27857,-86.830025,274800
AL,Opelika,Matsu Ln,36804,4,3,2508,141.5470494,0.2,,,32.615627,-85.38071,355000
AL,Gulf Shores,Muscogee Rd,36542,3,3,1265,333.5968379,0.1435,404700,2400,30.232487,-87.977135,422000
AL,Mobile,Hamilton Creek Dr N,36695,3,3,1888,132.3622881,0.4007,250400,1800,30.635536,-88.270996,249900
AL,Chelsea,Scarlett Ln,35043,3,2,1914,172.1525601,0.21,,,33.360428,-86.623604,329500
AL,Mobile,General Lee Ave,36619,4,2,1807,138.2955174,0.3432,197700,1650,30.582676,-88.18447,249900
AL,Bay Minette,McGee Cir,36507,3,2,1439,111.1188325,0.33,,,30.86652,-87.78434,159900
AL,Madison,Mill Walk Ct,35758,5,5,3923,172.0367066,0.4,674500,4140,34.700047,-86.76704,674900
AL,Foley,E Myrtle Ave,36535,3,2,1361,176.3409258,0.233,237500,1800,30.404423,-87.67775,240000
AL,Prattville,Cooper Ave,36066,3,2,1450,117.2413793,0.42,,,32.461464,-86.43951,170000
AL,Montgomery,Federal Dr,36107,4,3,2238,71.44772118,0.172176309,,,32.38716,-86.27291,159900
