Page,Price,Location,Area,Price/m2,BedRoom,Toilet
1,8 tỷ,"Văn Giang, Hưng Yên",72 m²,"111,11 tr/m²",5,4
1,"7,4 tỷ","Văn Giang, Hưng Yên",63 m²,"117,46 tr/m²",8,4
1,"11,9 tỷ","Văn Giang, Hưng Yên",112 m²,"106,25 tr/m²",6,6
1,Giá thỏa thuận,"Đông Anh, Hà Nội",75 m²,8,7,Null
1,60 tỷ,"Quận 2, Hồ Chí Minh",300 m²,200 tr/m²,5,5
1,30 tỷ,"Văn Giang, Hưng Yên",180 m²,"166,67 tr/m²",6,4
1,"11,9 tỷ","Văn Giang, Hưng Yên",70 m²,170 tr/m²,5,5
1,"7,5 tỷ","Văn Giang, Hưng Yên",65 m²,"115,38 tr/m²",6,5
1,10 tỷ,"Văn Giang, Hưng Yên",70 m²,"142,86 tr/m²",5,5
1,"17,5 tỷ","Văn Giang, Hưng Yên",75 m²,"233,33 tr/m²",5,5
1,"23,76 tỷ","Văn Giang, Hưng Yên",144 m²,165 tr/m²,10,8
1,"7,5 tỷ","Văn Giang, Hưng Yên",60 m²,125 tr/m²,7,5
1,"9,1 tỷ","Văn Giang, Hưng Yên",80 m²,"113,75 tr/m²",5,5
1,"16,36 tỷ","Văn Giang, Hưng Yên",120 m²,"136,36 tr/m²",5,5
1,"26,5 tỷ","Hai Bà Trưng, Hà Nội",82 m²,"323,17 tr/m²",6,4
1,Giá thỏa thuận,"Văn Giang, Hưng Yên",70 m²,6,4,Null
1,Giá thỏa thuận,"Quận 7, Hồ Chí Minh",302 m²,5,5,Null
1,"10,8 tỷ","Văn Giang, Hưng Yên",80 m²,135 tr/m²,5,4
1,570 tỷ,"Cầu Giấy, Hà Nội",588 m²,"969,39 tr/m²",48,50
1,10 tỷ,"Thường Tín, Hà Nội",87 m²,"114,94 tr/m²",5,4
2,"2,32 tỷ","Chương Mỹ, Hà Nội",36 m²,"64,44 tr/m²",4,4
2,"16,36 tỷ","Văn Giang, Hưng Yên",120 m²,"136,36 tr/m²",5,5
2,"26,5 tỷ","Hai Bà Trưng, Hà Nội",82 m²,"323,17 tr/m²",6,4
2,Giá thỏa thuận,"Văn Giang, Hưng Yên",70 m²,6,4,Null
2,Giá thỏa thuận,"Quận 7, Hồ Chí Minh",302 m²,5,5,Null
2,"10,8 tỷ","Văn Giang, Hưng Yên",80 m²,135 tr/m²,5,4
2,570 tỷ,"Cầu Giấy, Hà Nội",588 m²,"969,39 tr/m²",48,50
2,10 tỷ,"Thường Tín, Hà Nội",87 m²,"114,94 tr/m²",5,4
2,"10,1 tỷ","Văn Giang, Hưng Yên",75 m²,"134,67 tr/m²",5,5
2,"45,48 tỷ","Tây Hồ, Hà Nội",150 m²,"303,2 tr/m²",5,4
2,10 tỷ,"Thường Tín, Hà Nội",87 m²,"114,94 tr/m²",5,5
2,"16,2 tỷ","Sơn Trà, Đà Nẵng",108 m²,150 tr/m²,5,5
2,"25,2 tỷ","Long Biên, Hà Nội",82 m²,"307,32 tr/m²",6,8
2,"7,4 tỷ","Văn Giang, Hưng Yên",56 m²,"132,14 tr/m²",6,4
2,"34,2 tỷ","Hà Đông, Hà Nội",180 m²,190 tr/m²,4,4
2,"3,2 tỷ","Gò Vấp, Hồ Chí Minh",24 m²,"133,33 tr/m²",2,2
2,Giá thỏa thuận,"Đông Anh, Hà Nội","227,1 m²",5,4,Null
2,108 tỷ,"Tây Hồ, Hà Nội",270 m²,400 tr/m²,4,4
2,7 tỷ,"Văn Giang, Hưng Yên",54 m²,"129,63 tr/m²",6,6
2,"7,5 tỷ","Văn Giang, Hưng Yên",65 m²,"115,38 tr/m²",4,4
3,"15,2 tỷ","Sơn Trà, Đà Nẵng",120 m²,"126,67 tr/m²",8,10
3,"12,4 tỷ","Đống Đa, Hà Nội",48 m²,"258,33 tr/m²",6,4
3,"15,34 tỷ","Sơn Trà, Đà Nẵng",108 m²,142 tr/m²,5,6
3,"5,9 tỷ","Cẩm Lệ, Đà Nẵng",100 m²,59 tr/m²,3,3
3,"6,99 tỷ","Gò Vấp, Hồ Chí Minh",50 m²,"139,8 tr/m²",3,4
3,"6,4 tỷ","Thủ Đức, Hồ Chí Minh",68 m²,"94,12 tr/m²",4,6
3,"8,77 tỷ","Văn Giang, Hưng Yên",90 m²,"97,47 tr/m²",5,3
3,15 tỷ,"Hà Đông, Hà Nội",60 m²,250 tr/m²,4,4
3,"3,45 tỷ","Gò Vấp, Hồ Chí Minh",28 m²,"123,21 tr/m²",2,2
3,Giá thỏa thuận,"Hoàng Mai, Hà Nội",95 m²,8,5,Null
3,"51,5 tỷ","Tây Hồ, Hà Nội",180 m²,"286,11 tr/m²",6,5
3,Giá thỏa thuận,"Tân Uyên, Bình Dương",100 m²,3,3,Null
3,Giá thỏa thuận,"Đông Anh, Hà Nội",75 m²,6,6,Null
3,131 tỷ,"Đông Anh, Hà Nội",212 m²,"617,92 tr/m²",4,4
3,"3,6 tỷ","Quận 1, Hồ Chí Minh",18 m²,200 tr/m²,3,2
3,19 tỷ,"Đông Anh, Hà Nội",75 m²,"253,33 tr/m²",5,4
3,"18,5 tỷ","Đống Đa, Hà Nội","55,8 m²","331,54 tr/m²",11,Null
3,"6,9 tỷ","Gò Vấp, Hồ Chí Minh",48 m²,"143,75 tr/m²",3,4
3,"15,2 tỷ","Sơn Trà, Đà Nẵng",108 m²,"140,74 tr/m²",10,12
3,140 tỷ,"Long Biên, Hà Nội",350 m²,400 tr/m²,7,7
4,"6,3 tỷ","Thanh Thủy, Phú Thọ",400 m²,"15,75 tr/m²",4,4
4,"26,5 tỷ","Hà Đông, Hà Nội",170 m²,"155,88 tr/m²",4,4
4,"11,5 tỷ","Quận 12, Hồ Chí Minh",70 m²,"164,29 tr/m²",4,5
4,Giá thỏa thuận,"Sơn Trà, Đà Nẵng",108 m²,3,3,Null
4,Giá thỏa thuận,"Sơn Trà, Đà Nẵng",345 m²,4,4,Null
4,"2,2 tỷ","Hà Đông, Hà Nội",30 m²,"73,33 tr/m²",3,2
4,102 tỷ,"Gia Lâm, Hà Nội",280 m²,"364,29 tr/m²",2,3
4,27 tỷ,"Hà Đông, Hà Nội",170 m²,"158,82 tr/m²",4,4
4,48 tỷ,"Quận 1, Hồ Chí Minh",32 m²,"1,5 tỷ/m²",3,3
4,Giá thỏa thuận,"Đông Anh, Hà Nội",80 m²,5,5,Null
4,32 tỷ,"Quận 6, Hồ Chí Minh",256 m²,125 tr/m²,4,5
4,"9,5 tỷ","Bình Tân, Hồ Chí Minh",80 m²,"118,75 tr/m²",4,4
4,"4,4 tỷ","Phan Thiết, Bình Thuận",160 m²,"27,5 tr/m²",3,3
4,"4,4 tỷ","Phan Thiết, Bình Thuận",160 m²,"27,5 tr/m²",4,3
4,Giá thỏa thuận,"Hai Bà Trưng, Hà Nội",58 m²,10,10,Null
4,"28,6 tỷ","Quận 9, Hồ Chí Minh",250 m²,"114,4 tr/m²",5,Null
4,"4,35 tỷ","Tân Bình, Hồ Chí Minh","49,5 m²","87,88 tr/m²",4,Null
4,"5,95 tỷ","Long Biên, Hà Nội",40 m²,"148,75 tr/m²",4,3
4,"7,35 tỷ","Phú Nhuận, Hồ Chí Minh","35,2 m²","208,81 tr/m²",4,Null
4,"12,8 tỷ","Quận 9, Hồ Chí Minh",84 m²,"152,38 tr/m²",5,5
5,"7,25 tỷ","Ba Đình, Hà Nội",30 m²,"241,67 tr/m²",3,3
5,15 tỷ,"Hoài Đức, Hà Nội",80 m²,"187,5 tr/m²",25,25
5,"8,6 tỷ","Quận 7, Hồ Chí Minh","83,6 m²","102,87 tr/m²",4,Null
5,"7,3 tỷ","Văn Giang, Hưng Yên",54 m²,"135,18 tr/m²",6,4
5,43 tỷ,"Thủ Đức, Hồ Chí Minh",238 m²,"180,67 tr/m²",6,7
5,"6,85 tỷ","Gò Vấp, Hồ Chí Minh",60 m²,"114,17 tr/m²",4,5
5,"14,5 tỷ","Cầu Giấy, Hà Nội",37 m²,"391,89 tr/m²",4,3
5,"8,3 tỷ","Phú Nhuận, Hồ Chí Minh",39 m²,"212,82 tr/m²",5,4
5,"36,5 tỷ","Nam Từ Liêm, Hà Nội",106 m²,"344,34 tr/m²",8,Null
5,42 tỷ,"Quận 2, Hồ Chí Minh","107,5 m²","390,7 tr/m²",5,Null
5,25 tỷ,"Gia Lâm, Hà Nội",152 m²,"164,47 tr/m²",3,Null
5,"53,1 tỷ","Tây Hồ, Hà Nội",180 m²,295 tr/m²,5,4
5,"1,65 tỷ","Bến Cát, Bình Dương",108 m²,"15,28 tr/m²",2,Null
5,11 tỷ,"Đống Đa, Hà Nội",60 m²,"183,33 tr/m²",7,7
5,"7,35 tỷ","Phú Nhuận, Hồ Chí Minh","35,2 m²","208,81 tr/m²",4,Null
5,"6,85 tỷ","Tân Phú, Hồ Chí Minh",50 m²,137 tr/m²,6,5
5,44 tỷ,"Đống Đa, Hà Nội",110 m²,400 tr/m²,5,3
5,"14,2 tỷ","Mê Linh, Hà Nội",250 m²,"56,8 tr/m²",4,3
5,"5,6 tỷ","Gò Vấp, Hồ Chí Minh",42 m²,"133,33 tr/m²",4,3
5,"6,8 tỷ","Gò Vấp, Hồ Chí Minh",55 m²,"123,64 tr/m²",3,4
6,14 tỷ,"Mê Linh, Hà Nội",300 m²,"46,67 tr/m²",4,4
6,"9,8 tỷ","Gò Vấp, Hồ Chí Minh",56 m²,175 tr/m²,4,6
6,"10,5 tỷ","Gò Vấp, Hồ Chí Minh",64 m²,"164,06 tr/m²",4,6
6,"8,45 tỷ","Hồng Bàng, Hải Phòng",75 m²,"112,67 tr/m²",6,6
6,25 tỷ,"Cầu Giấy, Hà Nội",135 m²,"185,18 tr/m²",16,Null
6,"6,35 tỷ","Long Biên, Hà Nội",45 m²,"141,11 tr/m²",6,4
6,"60,95 tỷ","Tây Hồ, Hà Nội",230 m²,265 tr/m²,5,4
6,Giá thỏa thuận,"Văn Giang, Hưng Yên",63 m²,4,5,Null
6,"8,5 tỷ","Hồng Bàng, Hải Phòng",75 m²,"113,33 tr/m²",5,5
6,"2,45 tỷ","Bình Tân, Hồ Chí Minh",40 m²,"61,25 tr/m²",2,2
6,150 tỷ,"Quận 3, Hồ Chí Minh",285 m²,"526,32 tr/m²",2,Null
6,10 tỷ,"Thường Tín, Hà Nội",87 m²,"114,94 tr/m²",6,7
6,"2,1 tỷ","Bến Cát, Bình Dương",100 m²,21 tr/m²,1,1
6,6 tỷ,"Văn Giang, Hưng Yên",48 m²,125 tr/m²,4,4
6,"7,48 tỷ","Tân Bình, Hồ Chí Minh",53 m²,"141,13 tr/m²",4,5
6,11 tỷ,"Ba Đình, Hà Nội",58 m²,"189,66 tr/m²",10,Null
6,"18,5 tỷ","Thủ Đức, Hồ Chí Minh",105 m²,"176,19 tr/m²",6,Null
6,"15,8 tỷ","Sơn Trà, Đà Nẵng",108 m²,"146,3 tr/m²",3,Null
6,"21,3 tỷ","Tây Hồ, Hà Nội",57 m²,"373,68 tr/m²",3,3
6,Giá thỏa thuận,"Hà Đông, Hà Nội",170 m²,4,4,Null
7,38 tỷ,"Thanh Xuân, Hà Nội","97,5 m²","389,74 tr/m²",4,5
7,Giá thỏa thuận,"Quận 9, Hồ Chí Minh",126 m²,3,4,Null
7,11 tỷ,"Từ Sơn, Bắc Ninh",180 m²,"61,11 tr/m²",4,5
7,28 tỷ,"Thủ Đức, Hồ Chí Minh",140 m²,200 tr/m²,5,6
7,"8,5 tỷ","Thanh Xuân, Hà Nội",42 m²,"202,38 tr/m²",5,4
7,32 tỷ,"Cầu Giấy, Hà Nội",69 m²,"463,77 tr/m²",5,5
7,"21,5 tỷ","Nam Từ Liêm, Hà Nội",100 m²,215 tr/m²,6,5
7,Giá thỏa thuận,"Hoàng Mai, Hà Nội",75 m²,7,6,Null
7,9 tỷ,"Tân Phú, Hồ Chí Minh",80 m²,"112,5 tr/m²",3,2
7,14 tỷ,"Gò Vấp, Hồ Chí Minh",120 m²,"116,67 tr/m²",16,Null
7,45 tỷ,"Quận 10, Hồ Chí Minh",88 m²,"511,36 tr/m²",5,4
7,"3,7 tỷ","Thuận An, Bình Dương",62 m²,"59,68 tr/m²",4,4
7,44 tỷ,"Bình Thạnh, Hồ Chí Minh","205,4 m²","214,22 tr/m²",4,Null
7,"21,25 tỷ","Đông Anh, Hà Nội",85 m²,250 tr/m²,3,3
7,"28,5 tỷ","Hà Đông, Hà Nội",120 m²,"237,5 tr/m²",4,Null
7,364 tỷ,"Quận 3, Hồ Chí Minh","3.526,5 m²","103,22 tr/m²",2,Null
7,"24,56 tỷ","Văn Giang, Hưng Yên",96 m²,"255,8 tr/m²",4,Null
7,"3,2 tỷ","Bến Lức, Long An",90 m²,"35,56 tr/m²",3,2
7,"2,99 tỷ","Bến Lức, Long An",80 m²,"37,38 tr/m²",3,4
7,"7,25 tỷ","Hải Châu, Đà Nẵng",76 m²,"95,37 tr/m²",5,5
8,"18,9 tỷ","Quận 2, Hồ Chí Minh",100 m²,189 tr/m²,4,Null
8,"3,8 tỷ","Hai Bà Trưng, Hà Nội",25 m²,152 tr/m²,3,2
8,Giá thỏa thuận,"Quận 2, Hồ Chí Minh",160 m²,2,2,Null
8,"23,8 tỷ","Đống Đa, Hà Nội",48 m²,"495,83 tr/m²",5,5
8,30 tỷ,"Cầu Giấy, Hà Nội",85 m²,"352,94 tr/m²",5,5
8,16 tỷ,"Nhơn Trạch, Đồng Nai",320 m²,50 tr/m²,3,3
8,"2,15 tỷ","Gò Vấp, Hồ Chí Minh",22 m²,"97,73 tr/m²",2,1
8,15 tỷ,"Thủy Nguyên, Hải Phòng",180 m²,"83,33 tr/m²",9,6
8,159 tỷ,"Phú Nhuận, Hồ Chí Minh",700 m²,"227,14 tr/m²",5,Null
8,7 tỷ,"Gia Lâm, Hà Nội",56 m²,125 tr/m²,1,1
8,6 tỷ,"Bình Tân, Hồ Chí Minh",90 m²,"66,66 tr/m²",3,3
8,"21,5 tỷ","Thanh Xuân, Hà Nội",60 m²,"358,33 tr/m²",5,5
8,"6,5 tỷ","Ba Đình, Hà Nội",58 m²,"112,07 tr/m²",3,3
8,150 tỷ,"Sơn Trà, Đà Nẵng",390 m²,"384,62 tr/m²",9,Null
8,"2,28 tỷ","Phú Nhuận, Hồ Chí Minh",46 m²,"49,56 tr/m²",4,3
8,"18,5 tỷ","Quận 2, Hồ Chí Minh",100 m²,185 tr/m²,4,4
8,"18,9 tỷ","Bình Thạnh, Hồ Chí Minh","90,6 m²","208,61 tr/m²",7,Null
8,Giá thỏa thuận,"Bình Chánh, Hồ Chí Minh","102,5 m²",3,3,Null
8,"17,19 tỷ","Quận 9, Hồ Chí Minh",120 m²,"143,25 tr/m²",3,Null
8,"6,5 tỷ","Đống Đa, Hà Nội",52 m²,125 tr/m²,4,4
9,"17,5 tỷ","Hai Bà Trưng, Hà Nội",75 m²,"233,33 tr/m²",18,Null
9,"17,3 tỷ","Thanh Xuân, Hà Nội",83 m²,"208,43 tr/m²",22,Null
9,26 tỷ,"Gò Vấp, Hồ Chí Minh",120 m²,"216,67 tr/m²",6,6
9,Giá thỏa thuận,"Hoàng Mai, Hà Nội",40 m²,5,3,Null
9,"9,2 tỷ","Tân Phú, Hồ Chí Minh","75,6 m²","121,69 tr/m²",3,Null
9,"3,1 tỷ","Thuận An, Bình Dương","78,75 m²","39,36 tr/m²",3,Null
9,"13,85 tỷ","Tân Bình, Hồ Chí Minh",73 m²,"189,73 tr/m²",7,Null
9,33 tỷ,"Quận 2, Hồ Chí Minh",95 m²,"347,37 tr/m²",4,4
9,27 tỷ,"Sơn Trà, Đà Nẵng",108 m²,250 tr/m²,4,5
9,Giá thỏa thuận,"Hoài Đức, Hà Nội",210 m²,3,3,Null
9,14 tỷ,"Long Biên, Hà Nội",62 m²,"225,81 tr/m²",4,5
9,41 tỷ,"Quận 7, Hồ Chí Minh",200 m²,205 tr/m²,5,5
9,"8,5 tỷ","Quận 9, Hồ Chí Minh",160 m²,"53,12 tr/m²",4,4
9,"51,9 tỷ","Tân Phú, Hồ Chí Minh","411,84 m²","126,02 tr/m²",1,Null
9,"2,6 tỷ","Thuận An, Bình Dương",72 m²,"36,11 tr/m²",3,3
9,"8,68 tỷ","Văn Giang, Hưng Yên",60 m²,"144,62 tr/m²",5,4
9,"17,5 tỷ","Long Biên, Hà Nội",85 m²,"205,88 tr/m²",5,4
9,Giá thỏa thuận,"Yên Mỹ, Hưng Yên",90 m²,6,4,Null
9,"2,68 tỷ","Quận 1, Hồ Chí Minh","79,8 m²","33,58 tr/m²",4,Null
9,"2,35 tỷ","Long Biên, Hà Nội",45 m²,"52,22 tr/m²",1,1
10,"3,8 tỷ","Đức Hòa, Long An",87 m²,"43,68 tr/m²",2,2
10,"134,5 tỷ","Hà Đông, Hà Nội",500 m²,269 tr/m²,6,5
10,"1,15 tỷ","Phú Mỹ, Bà Rịa Vũng Tàu",56 m²,"20,54 tr/m²",2,1
