Product,Price,Date
TECNO SPARK 20PRO+,4717000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,1598000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,29790000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,12885000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,19931000,10/7/2023
Tecno Camon 30 8GB/256GB,5136000,10/7/2023
Tecno Pova 6 (8GB/256GB),4647000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,9615000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,17897000,10/7/2023
TECNO SPARK 20 8GB 128GB,4268000,10/7/2023
TECNO POVA 5 8GB 128GB,4082000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),10808000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,12644000,10/7/2023
Tecno Camon 30 12GB/256GB,8664000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,22588000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,29519000,10/7/2023
Samsung Galaxy S23 8GB 128GB,11320000,10/7/2023
iPhone 16 128GB,26507000,10/7/2023
iPhone 16 Pro Max 256GB,49503000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,23000000,10/7/2023
iPhone 16 Pro 128GB,28861000,10/7/2023
iPhone 15 Pro Max 256GB,27862000,10/7/2023
Samsung Galaxy Z Fold6,44189000,10/7/2023
iPhone 13 128GB,12598000,10/7/2023
iPhone 15 128GB,20342000,10/7/2023
iPhone 14 Pro Max 128GB,18585000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,3642000,10/7/2023
iPhone 15 Plus 128GB,23028000,10/7/2023
iPhone 15 Pro 128GB,24143000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,29888000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,7157000,10/7/2023
Samsung Galaxy Z Flip6,31379000,10/7/2023
Xiaomi 14T,15217000,10/7/2023
iPhone 12 Pro Max 128GB,23411000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),4136000,10/7/2023
Samsung Galaxy S23 8GB 128GB,15831000,10/7/2023
iPhone 13 Pro Max 128GB,22804000,10/7/2023
TECNO SPARK 20PRO+,5354000,10/7/2023
TECNO SPARK Go 2024 4GB 64GB,2399000,10/7/2023
Samsung Galaxy S24 Plus 12GB 512GB,25706000,10/7/2023
Samsung Galaxy S23 FE 5G 8GB 128GB,12702000,10/7/2023
Samsung Galaxy S24 Plus 12GB 256GB,16692000,10/7/2023
Tecno Camon 30 8GB/256GB,8039000,10/7/2023
Tecno Pova 6 (8GB/256GB),4499000,10/7/2023
OPPO Reno10 Pro+ 5G 12GB 256GB,13338000,10/7/2023
OPPO Find X5 Pro 12GB 256GB,15542000,10/7/2023
TECNO SPARK 20 8GB 128GB,2251000,10/7/2023
TECNO POVA 5 8GB 128GB,2705000,10/7/2023
Samsung Galaxy M55 (12GB 256GB),10233000,10/7/2023
Samsung Galaxy S23 FE 8GB 256GB,13907000,10/7/2023
Tecno Camon 30 12GB/256GB,4363000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,33223000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,29392000,10/7/2023
Samsung Galaxy S23 8GB 128GB,14604000,10/7/2023
iPhone 16 128GB,24116000,10/7/2023
iPhone 16 Pro Max 256GB,38118000,10/7/2023
Samsung Galaxy S24 Ultra 12GB 256GB,25744000,10/7/2023
iPhone 16 Pro 128GB,32949000,10/7/2023
iPhone 15 Pro Max 256GB,24856000,10/7/2023
Samsung Galaxy Z Fold6,33535000,10/7/2023
iPhone 13 128GB,16378000,10/7/2023
iPhone 15 128GB,16796000,10/7/2023
iPhone 14 Pro Max 128GB,22768000,10/7/2023
Samsung Galaxy A15 LTE 8GB 128GB,3150000,10/7/2023
iPhone 15 Plus 128GB,20698000,10/7/2023
iPhone 15 Pro 128GB,33650000,10/7/2023
Samsung Galaxy S23 Ultra 12GB 512GB,31423000,10/7/2023
Xiaomi POCO X6 Pro 5G 8GB 256GB,8626000,10/7/2023
Samsung Galaxy Z Flip6,25749000,10/7/2023
Xiaomi 14T,17045000,10/7/2023
iPhone 12 Pro Max 128GB,29038000,10/7/2023
Xiaomi Redmi Note 13 (6GB 128GB),3612000,10/7/2023
