Product,Price,Date
Samsung Galaxy Z Flip6 12GB/256GB,"29,172,504",2023-08-21
iPhone 16 Pro,"37,621,811",2023-07-10
Samsung Galaxy Z Flip6 12GB/256GB,"30,566,811",2024-09-12
Samsung Galaxy Z Fold6 12GB/1TB,"46,206,501",2023-12-15
iPhone 16 Pro Max (512GB),"50,342,919",2023-10-03
Samsung Galaxy Z Fold6 12GB/256GB,"36,433,786",2023-07-18
Samsung Galaxy Z Fold6 12GB/512GB,"41,170,281",2024-08-21
Samsung Galaxy Z Fold6 12GB/1TB,"46,630,588",2024-04-16
Samsung Galaxy Z Fold6 12GB/512GB,"41,250,272",2023-09-13
iPhone 16 Plus (256GB),"34,191,116",2024-02-13
Samsung Galaxy Z Fold6 12GB/256GB,"39,863,390",2024-02-25
iPhone 16 Pro Max (512GB),"49,512,618",2024-08-23
Samsung Galaxy Z Fold6 12GB/256GB,"38,378,650",2023-09-15
iPhone 16 Plus (256GB),"31,558,495",2024-07-30
Samsung Galaxy Z Flip6 12GB/512GB,"34,956,760",2023-08-25
iPhone 16 Pro Max,"50,854,792",2024-08-16
iPhone 16 Plus,"34,522,203",2024-07-30
Samsung Galaxy Z Fold6 12GB/512GB,"43,469,877",2023-11-30
Samsung Galaxy Z Fold6 12GB/1TB,"50,417,696",2024-07-09
Samsung Galaxy Z Flip6 12GB/256GB,"31,340,949",2024-05-09
iPhone 16 Plus,"34,349,628",2024-07-19
Samsung Galaxy Z Fold6 12GB/256GB,"40,121,535",2024-08-29
iPhone 16 Pro (256GB),"32,328,264",2024-09-14
iPhone 16 Pro Max (512GB),"45,401,925",2023-08-19
Samsung Galaxy Z Flip6 12GB/512GB,"32,408,913",2024-06-16
iPhone 16 Pro,"38,157,879",2024-08-19
iPhone 16,"30,205,832",2023-09-19
Samsung Galaxy Z Fold6 12GB/256GB,"35,790,424",2024-05-11
Samsung Galaxy Z Flip6 12GB/512GB,"34,610,430",2023-09-17
iPhone 16 Pro Max (512GB),"48,146,143",2024-06-27
Samsung Galaxy Z Flip6 12GB/512GB,"34,158,462",2024-05-02
Samsung Galaxy Z Fold6 12GB/1TB,"50,229,980",2023-12-28
iPhone 16 Pro (256GB),"33,524,529",2024-07-15
Samsung Galaxy Z Fold6 12GB/512GB,"44,756,998",2024-08-19
Samsung Galaxy Z Fold6 12GB/512GB,"42,514,791",2024-03-06
iPhone 16 Pro Max (512GB),"47,983,822",2024-03-09
iPhone 16 Plus,"35,965,109",2023-09-05
Samsung Galaxy Z Fold6 12GB/512GB,"44,766,352",2023-08-31
iPhone 16 Plus,"34,891,996",2023-07-31
iPhone 16 Pro (256GB),"37,441,479",2024-02-21
iPhone 16 Pro (256GB),"35,407,120",2024-09-26
Samsung Galaxy Z Fold6 12GB/256GB,"40,673,266",2024-02-02
iPhone 16 Pro Max,"47,385,134",2023-11-01
Samsung Galaxy Z Fold6 12GB/512GB,"41,783,427",2024-04-12
Samsung Galaxy Z Fold6 12GB/1TB,"46,576,412",2023-12-25
iPhone 16 Pro,"36,306,274",2024-08-20
iPhone 16 Pro Max,"40,411,259",2024-09-11
Samsung Galaxy Z Fold6 12GB/256GB,"36,469,787",2024-01-30
Samsung Galaxy Z Fold6 12GB/512GB,"42,674,547",2024-01-15
Samsung Galaxy Z Fold6 12GB/512GB,"40,559,445",2024-02-22
Samsung Galaxy Z Fold6 12GB/1TB,"46,548,709",2024-08-22
iPhone 16,"29,893,982",2023-08-20
iPhone 16,"29,168,513",2024-02-15
iPhone 16 (256GB),"28,756,176",2023-10-14
iPhone 16 Pro,"38,408,191",2024-08-30
iPhone 16 Pro Max (512GB),"50,818,897",2024-07-14
iPhone 16 Pro (256GB),"34,467,190",2024-07-21
iPhone 16,"30,126,363",2024-06-25
iPhone 16 Pro Max,"48,640,668",2024-05-04
Samsung Galaxy Z Fold6 12GB/1TB,"49,114,103",2024-06-28
Samsung Galaxy Z Fold6 12GB/256GB,"37,160,692",2024-07-21
iPhone 16 Pro Max,"40,361,279",2024-09-20
Samsung Galaxy Z Flip6 12GB/256GB,"28,823,396",2023-09-06
Samsung Galaxy Z Flip6 12GB/256GB,"32,282,233",2023-10-27
iPhone 16 Plus (256GB),"30,929,375",2024-03-16
Samsung Galaxy Z Fold6 12GB/256GB,"38,619,346",2024-07-08
iPhone 16 Pro Max (512GB),"48,690,760",2024-04-30
iPhone 16 Pro Max (512GB),"45,552,782",2024-09-16
Samsung Galaxy Z Flip6 12GB/512GB,"33,518,306",2023-07-10
iPhone 16 (256GB),"28,937,333",2024-03-08
iPhone 16 Pro (256GB),"32,817,609",2024-08-07
iPhone 16 Pro Max (512GB),"46,718,367",2024-05-02
iPhone 16 Pro (256GB),"32,592,961",2024-01-01
Samsung Galaxy Z Flip6 12GB/512GB,"34,753,779",2024-05-12
Samsung Galaxy Z Fold6 12GB/1TB,"50,434,127",2023-11-23
Samsung Galaxy Z Fold6 12GB/256GB,"38,926,326",2024-09-27
Samsung Galaxy Z Fold6 12GB/256GB,"38,271,545",2024-07-19
iPhone 16 Plus (256GB),"30,111,996",2023-12-11
iPhone 16 Pro Max,"49,503,744",2024-08-04
iPhone 16 (256GB),"31,576,273",2024-02-14
Samsung Galaxy Z Fold6 12GB/1TB,"48,369,616",2023-07-11
iPhone 16 Plus,"32,939,403",2023-11-16
Samsung Galaxy Z Flip6 12GB/256GB,"31,160,722",2024-06-11
iPhone 16 Plus,"30,460,318",2023-09-16
Samsung Galaxy Z Fold6 12GB/512GB,"43,478,784",2024-03-10
iPhone 16 Pro,"38,499,221",2023-07-24
iPhone 16 Plus (256GB),"30,783,201",2023-11-04
Samsung Galaxy Z Fold6 12GB/512GB,"42,723,552",2024-02-27
iPhone 16,"30,384,485",2023-12-06
iPhone 16,"27,602,876",2024-02-09
iPhone 16 Plus,"33,546,123",2024-06-03
iPhone 16 Pro (256GB),"37,879,988",2023-12-15
iPhone 16 Pro,"40,647,584",2024-07-09
iPhone 16 Pro (256GB),"32,327,757",2024-05-16
Samsung Galaxy Z Flip6 12GB/256GB,"29,525,165",2024-02-29
iPhone 16 Pro,"36,305,352",2024-03-08
iPhone 16 Pro (256GB),"32,475,892",2023-07-10
iPhone 16 Plus,"32,378,898",2023-07-23
Samsung Galaxy Z Fold6 12GB/1TB,"49,159,531",2023-08-10
Samsung Galaxy Z Fold6 12GB/256GB,"36,748,917",2023-12-11
iPhone 16 Pro,"39,872,996",2024-04-09
Samsung Galaxy Z Fold6 12GB/512GB,"45,577,871",2024-08-24
iPhone 16 Plus (256GB),"31,495,570",2023-12-31
iPhone 16 Pro,"35,268,273",2024-07-19
iPhone 16 Pro Max,"43,356,527",2024-05-15
Samsung Galaxy Z Flip6 12GB/512GB,"34,194,517",2024-08-15
iPhone 16 Plus (256GB),"34,702,390",2024-08-03
iPhone 16 (256GB),"29,350,558",2023-09-01
iPhone 16,"25,482,525",2023-09-02
iPhone 16 (256GB),"32,721,747",2024-06-24
Samsung Galaxy Z Fold6 12GB/256GB,"36,155,817",2024-03-07
Samsung Galaxy Z Fold6 12GB/256GB,"37,574,955",2024-02-06
iPhone 16 Pro Max (512GB),"50,393,912",2024-08-06
iPhone 16 Pro Max,"50,169,587",2023-08-09
iPhone 16 Pro Max (512GB),"48,887,876",2024-05-21
Samsung Galaxy Z Fold6 12GB/256GB,"40,482,246",2023-09-26
iPhone 16 Plus (256GB),"31,255,471",2024-08-02
Samsung Galaxy Z Flip6 12GB/512GB,"33,812,528",2024-06-27
iPhone 16,"26,609,209",2024-05-13
iPhone 16 Pro (256GB),"36,736,996",2024-05-01
iPhone 16 (256GB),"31,718,197",2024-07-09
Samsung Galaxy Z Fold6 12GB/256GB,"37,970,126",2023-09-30
iPhone 16 Plus (256GB),"31,532,285",2024-01-07
iPhone 16 Plus,"35,796,643",2024-04-19
iPhone 16,"27,516,711",2023-07-19
iPhone 16 Pro,"38,272,599",2024-06-21
iPhone 16 Pro,"39,479,395",2024-01-31
Samsung Galaxy Z Fold6 12GB/1TB,"50,903,514",2023-09-01
Samsung Galaxy Z Fold6 12GB/256GB,"36,271,952",2023-07-17
iPhone 16 Plus (256GB),"30,757,344",2024-02-04
iPhone 16 Pro Max,"44,875,202",2023-12-05
Samsung Galaxy Z Fold6 12GB/512GB,"44,223,391",2024-02-11
iPhone 16 Plus (256GB),"35,676,777",2024-07-04
Samsung Galaxy Z Fold6 12GB/1TB,"46,467,503",2024-06-30
iPhone 16 (256GB),"32,726,920",2024-05-27
iPhone 16 Pro Max,"48,155,261",2024-03-17
Samsung Galaxy Z Flip6 12GB/512GB,"33,826,685",2024-04-08
iPhone 16,"26,760,965",2023-08-16
iPhone 16 Pro (256GB),"33,228,127",2023-09-16
iPhone 16 Plus,"34,643,672",2024-05-10
iPhone 16 Pro,"37,289,222",2024-06-12
iPhone 16,"25,784,425",2023-12-24
Samsung Galaxy Z Fold6 12GB/256GB,"38,512,855",2023-08-10
iPhone 16 Pro Max (512GB),"45,857,836",2023-08-14
Samsung Galaxy Z Flip6 12GB/512GB,"35,205,262",2024-07-06
iPhone 16 Pro Max (512GB),"45,863,903",2024-09-16
Samsung Galaxy Z Fold6 12GB/256GB,"35,133,636",2023-10-24
iPhone 16 (256GB),"30,958,117",2024-01-08
Samsung Galaxy Z Fold6 12GB/1TB,"45,359,814",2024-02-16
iPhone 16 Plus (256GB),"30,363,633",2024-06-01
Samsung Galaxy Z Fold6 12GB/256GB,"38,203,899",2024-04-22
iPhone 16,"27,810,192",2024-03-23
iPhone 16 Plus (256GB),"33,425,106",2023-08-03
iPhone 16,"30,412,214",2024-07-07
Samsung Galaxy Z Flip6 12GB/512GB,"34,801,212",2024-05-13
iPhone 16 Pro Max (512GB),"47,512,687",2024-07-08
Samsung Galaxy Z Flip6 12GB/512GB,"34,123,121",2023-08-01
Samsung Galaxy Z Fold6 12GB/1TB,"46,960,592",2024-04-09
Samsung Galaxy Z Fold6 12GB/256GB,"35,441,896",2024-06-13
Samsung Galaxy Z Fold6 12GB/1TB,"45,374,465",2024-07-14
iPhone 16 Pro,"39,830,604",2024-05-30
iPhone 16 (256GB),"30,123,325",2023-08-31
iPhone 16 Plus,"33,806,130",2023-08-04
Samsung Galaxy Z Flip6 12GB/256GB,"31,331,993",2023-07-14
iPhone 16 Pro,"40,197,959",2024-08-21
iPhone 16 (256GB),"29,263,437",2024-03-27
iPhone 16 Pro,"37,594,749",2024-04-22
iPhone 16,"26,505,799",2024-01-05
Samsung Galaxy Z Flip6 12GB/256GB,"31,171,398",2024-09-19
Samsung Galaxy Z Flip6 12GB/512GB,"33,901,294",2024-03-02
Samsung Galaxy Z Fold6 12GB/256GB,"39,121,905",2024-05-23
iPhone 16,"28,766,192",2023-10-08
iPhone 16 Pro,"35,117,528",2023-11-25
iPhone 16,"25,983,297",2024-07-11
Samsung Galaxy Z Fold6 12GB/512GB,"41,362,182",2024-09-05
iPhone 16 (256GB),"30,369,260",2023-11-09
Samsung Galaxy Z Fold6 12GB/256GB,"40,127,909",2024-07-12
iPhone 16 Plus (256GB),"31,855,530",2024-02-13
Samsung Galaxy Z Flip6 12GB/512GB,"33,299,517",2024-01-04
iPhone 16,"27,248,579",2024-08-26
Samsung Galaxy Z Flip6 12GB/256GB,"30,858,449",2024-03-05
iPhone 16,"26,500,850",2023-07-27
iPhone 16 Pro (256GB),"34,694,994",2024-07-31
iPhone 16 Pro (256GB),"37,450,804",2023-12-22
Samsung Galaxy Z Flip6 12GB/512GB,"35,988,986",2023-10-06
iPhone 16 Pro Max,"46,708,298",2024-08-11
iPhone 16 Plus (256GB),"34,840,102",2024-06-27
iPhone 16 Pro Max (512GB),"46,923,506",2024-09-19
iPhone 16 Pro,"39,594,831",2023-07-18
iPhone 16 Plus (256GB),"31,356,108",2024-03-17
Samsung Galaxy Z Flip6 12GB/512GB,"35,614,585",2023-09-14
Samsung Galaxy Z Fold6 12GB/1TB,"50,294,769",2024-06-13
iPhone 16 Pro,"36,984,482",2024-07-25
iPhone 16 Plus,"35,522,102",2023-11-21
Samsung Galaxy Z Fold6 12GB/256GB,"38,316,958",2023-11-29
iPhone 16 Plus,"32,467,683",2023-08-10
Samsung Galaxy Z Flip6 12GB/256GB,"31,564,686",2024-08-23
Samsung Galaxy Z Fold6 12GB/512GB,"42,474,682",2024-04-30
Samsung Galaxy Z Flip6 12GB/512GB,"34,469,109",2023-12-04
Samsung Galaxy Z Flip6 12GB/512GB,"33,566,495",2024-09-24
Samsung Galaxy Z Flip6 12GB/512GB,"34,988,956",2024-07-01
Samsung Galaxy Z Flip6 12GB/256GB,"30,551,499",2024-08-21
iPhone 16 Plus (256GB),"33,221,285",2024-09-19
Samsung Galaxy Z Flip6 12GB/256GB,"31,433,942",2024-04-27
iPhone 16 Plus,"34,146,489",2023-12-02
iPhone 16 Plus (256GB),"31,218,857",2024-07-16
iPhone 16 Pro Max (512GB),"49,259,598",2024-05-26
iPhone 16 Plus (256GB),"33,541,856",2023-11-11
iPhone 16 (256GB),"31,793,795",2024-06-28
iPhone 16 Pro,"37,187,314",2024-01-18
iPhone 16 Pro Max,"44,811,440",2024-01-08
